,combination,memory,cpu,elapse
0,2,624.82421875,46.7,1.000342607498169
1,3,630.078125,47.0,2.010410785675049
2,4,631.203125,53.7,3.0160398483276367
3,5,632.07421875,48.1,4.021145820617676
4,6,632.8125,44.3,5.027849912643433
5,7,633.6171875,44.5,6.031316757202148
6,8,634.3359375,46.1,7.038675785064697
7,9,634.90234375,49.6,8.042627811431885
8,10,635.4140625,44.6,9.048524618148804
9,11,635.87890625,44.2,10.055360794067383
10,12,636.390625,43.9,11.060436964035034
11,13,636.78515625,44.7,12.068888664245605
12,14,637.2109375,44.9,13.078115701675415
13,15,637.69140625,45.2,14.084527730941772
14,16,638.03125,44.2,15.090789794921875
15,17,638.41015625,60.8,16.09890365600586
16,18,638.89453125,50.3,17.107337951660156
17,19,639.4921875,52.6,18.11937379837036
18,20,639.9296875,45.2,19.12834882736206
19,20,640.40234375,44.2,20.138299703598022
20,20,640.92578125,44.1,21.14829993247986
21,20,641.2734375,45.8,22.158955574035645
22,20,641.69140625,44.3,23.16898274421692
23,20,642.05859375,45.8,24.175586700439453
24,20,642.38671875,44.6,25.186823844909668
25,20,642.78515625,49.6,26.196573734283447
26,20,643.12890625,52.0,27.20803189277649
27,20,643.41796875,45.2,28.215163707733154
28,20,643.62890625,46.1,29.22803783416748
29,20,643.87109375,44.6,30.238070011138916
30,20,644.1640625,44.9,31.248889684677124
31,19,644.41796875,47.1,32.25903058052063
32,18,644.60546875,48.0,33.26681184768677
33,17,644.85546875,52.2,34.27428078651428
34,16,645.1484375,47.4,35.28578472137451
35,15,645.34375,45.0,36.2939658164978
36,14,645.53125,45.9,37.30484676361084
37,13,645.67578125,45.6,38.30998873710632
38,12,645.83203125,45.2,39.316651582717896
39,11,645.98828125,44.0,40.321980714797974
40,10,646.15234375,45.0,41.328102827072144
41,9,646.30859375,45.2,42.336028814315796
42,8,646.4921875,44.6,43.34308576583862
43,7,646.67578125,47.3,44.347978830337524
44,6,646.8515625,44.4,45.35590171813965
45,5,646.95703125,44.2,46.36177682876587
46,4,647.08984375,44.8,47.36863684654236
47,3,647.1875,44.7,48.3756537437439
48,2,647.2578125,45.3,49.38072490692139
49,1,647.35546875,44.2,50.38295769691467
