,combination,memory,cpu,elapse
0,2,76.93359375,6.2,1.0005710124969482
1,3,76.9921875,4.4,2.0061089992523193
2,4,77.0078125,4.3,3.0165460109710693
3,5,77.046875,7.6,4.028972148895264
4,6,77.0625,13.6,5.046041965484619
5,7,77.07421875,7.9,6.065834045410156
6,8,77.125,5.5,7.090503931045532
7,9,77.14453125,3.4,8.119077920913696
8,10,77.2265625,5.6,9.148485898971558
9,11,77.28515625,7.3,10.180665969848633
10,12,77.3203125,2.2,11.21418809890747
11,13,77.35546875,1.5,12.25054121017456
12,14,77.359375,2.6,13.292462825775146
13,15,77.40234375,3.6,14.336731910705566
14,16,77.40625,3.0,15.384737014770508
15,17,77.4375,12.8,16.425523042678833
16,18,77.46875,20.0,17.476111888885498
17,19,77.46875,6.8,18.526607990264893
18,20,77.5078125,12.9,19.585559129714966
19,21,77.55078125,16.3,20.657721996307373
20,21,77.5859375,19.5,21.713000059127808
21,21,77.65625,5.8,22.77713704109192
22,21,77.66015625,9.1,23.842052936553955
23,21,77.66015625,3.4,24.896143913269043
24,21,77.6640625,13.6,25.96184515953064
25,21,77.6640625,7.0,27.022438049316406
26,21,77.6953125,4.6,28.083215951919556
27,21,77.7265625,5.9,29.148595094680786
28,21,77.7265625,4.9,30.213947057724
29,21,77.7265625,9.0,31.26614999771118
30,20,77.7265625,3.7,32.32697296142578
31,19,77.7265625,7.8,33.38578701019287
32,18,77.7265625,10.8,34.45061898231506
33,17,77.73046875,3.4,35.502553939819336
34,16,77.73046875,4.9,36.561980962753296
35,15,77.73046875,14.6,37.61404013633728
36,14,77.73046875,6.3,38.66672706604004
37,13,77.73046875,9.9,39.715632915496826
38,12,77.73046875,10.1,40.76190805435181
39,11,77.73046875,10.5,41.80592584609985
40,10,77.73046875,5.7,42.8427300453186
41,9,77.73046875,7.5,43.876920223236084
42,8,77.73046875,6.8,44.91034293174744
43,7,77.73046875,6.2,45.94098687171936
44,6,77.73046875,7.5,46.96188187599182
45,5,77.73046875,16.4,47.979840993881226
46,4,77.73046875,15.8,48.99846601486206
47,3,77.73046875,6.1,50.013049840927124
48,2,77.75,6.0,51.028640031814575
49,1,77.75,5.3,52.041970014572144
