from_id,to_id,distance
0,1,461.5278973149944
0,2,301.7880050631569
0,3,180.47160441465576
0,4,426.5688690000713
0,5,243.64728605096343
0,6,397.24677468797654
0,7,357.8435412299627
0,8,398.45325949225213
0,9,298.82770955853476
1,2,212.76277869965884
1,3,548.7166846378922
1,4,446.5254751971045
1,5,262.48809496813374
1,6,352.3932462462923
1,7,118.06777714516353
1,8,227.43130831088317
1,9,209.40391591371923
2,3,441.98868763804353
2,4,486.6795660390931
2,5,60.4648658313239
2,6,405.7893542221136
2,7,96.54014708917737
2,8,315.0063491423625
2,9,216.00462958001617
3,4,337.6758800980609
3,5,392.13518077316144
3,6,349.9614264458299
3,7,469.18013598190623
3,8,407.7070026379238
3,9,346.4390278245221
4,5,474.0938725611205
4,6,94.2019108086455
4,7,443.3565156846124
4,8,220.04544985070697
4,9,274.41756503547657
5,6,400.49594255123236
5,7,144.49913494550754
5,8,325.61480310329875
5,9,216.54098919142305
6,7,354.4643846707311
6,8,125.92855117089213
6,9,190.0026315607234
7,8,246.05893602956183
7,9,171.0263137648707
8,9,113.6001760562016
